created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-06 04:03:50 UTC,1,27.00,"61.30

",,,,
2021-04-06 04:04:06 UTC,2,27.10,"61.40

",,,,
2021-04-06 04:04:21 UTC,3,27.10,"61.50

",,,,
2021-04-06 04:04:36 UTC,4,27.10,"61.50

",,,,
2021-04-06 04:04:52 UTC,5,27.20,"61.70

",,,,
2021-04-06 04:05:08 UTC,6,27.20,"61.10

",,,,
2021-04-06 04:05:24 UTC,7,27.20,"61.00

",,,,
2021-04-06 04:05:39 UTC,8,27.20,"61.00

",,,,
2021-04-06 04:05:55 UTC,9,27.20,"61.10

",,,,
2021-04-06 04:06:11 UTC,10,27.20,"60.80

",,,,
2021-04-06 04:06:26 UTC,11,27.10,"60.20

",,,,
2021-04-06 04:06:42 UTC,12,27.10,"60.80

",,,,
2021-04-06 04:06:58 UTC,13,27.00,"60.90

",,,,
2021-04-06 04:07:14 UTC,14,27.00,"60.40

",,,,
2021-04-06 04:07:31 UTC,15,26.90,"60.20

",,,,
2021-04-06 04:07:46 UTC,16,26.90,"60.40

",,,,
2021-04-06 04:08:02 UTC,17,26.90,"60.50

",,,,
2021-04-06 04:08:17 UTC,18,26.90,"60.70

",,,,
2021-04-06 04:08:32 UTC,19,26.80,"60.50

",,,,
2021-04-06 04:08:49 UTC,20,26.80,"60.60

",,,,
2021-04-06 04:09:04 UTC,21,26.80,"60.70

",,,,
2021-04-06 04:09:21 UTC,22,26.80,"60.80

",,,,
2021-04-06 04:09:37 UTC,23,26.80,"60.90

",,,,
2021-04-06 04:09:53 UTC,24,26.80,"61.80

",,,,
2021-04-06 04:10:08 UTC,25,26.90,"61.00

",,,,
2021-04-06 04:10:24 UTC,26,26.80,"60.70

",,,,
2021-04-06 04:10:41 UTC,27,26.80,"61.00

",,,,
2021-04-06 04:10:57 UTC,28,26.90,"61.40

",,,,
2021-04-06 04:11:13 UTC,29,26.80,"60.90

",,,,
2021-04-06 04:11:28 UTC,30,26.80,"60.90

",,,,
2021-04-06 04:11:44 UTC,31,26.80,"61.10

",,,,
2021-04-06 04:11:59 UTC,32,26.80,"61.00

",,,,
2021-04-06 04:12:15 UTC,33,26.80,"61.50

",,,,
2021-04-06 04:12:31 UTC,34,26.80,"61.10

",,,,
2021-04-06 04:12:47 UTC,35,26.90,"61.30

",,,,
2021-04-06 04:13:03 UTC,36,26.80,"61.00

",,,,
2021-04-06 04:13:19 UTC,37,26.90,"61.20

",,,,
2021-04-06 04:13:35 UTC,38,26.90,"61.20

",,,,
2021-04-06 04:13:51 UTC,39,26.90,"61.40

",,,,
2021-04-06 04:14:06 UTC,40,26.90,"61.50

",,,,
2021-04-06 04:14:22 UTC,41,26.90,"61.50

",,,,
2021-04-06 04:14:39 UTC,42,26.90,"61.50

",,,,
2021-04-06 04:14:56 UTC,43,27.00,"61.50

",,,,
2021-04-06 04:15:11 UTC,44,27.00,"61.50

",,,,
2021-04-06 04:15:27 UTC,45,27.00,"61.20

",,,,
2021-04-06 04:15:43 UTC,46,27.00,"62.10

",,,,
2021-04-06 04:15:59 UTC,47,27.00,"62.00

",,,,
2021-04-06 04:16:15 UTC,48,27.00,"62.60

",,,,
2021-04-06 04:16:30 UTC,49,27.20,"63.30

",,,,
2021-04-06 04:16:47 UTC,50,28.40,"61.70

",,,,
2021-04-06 04:17:03 UTC,51,29.90,"58.80

",,,,
2021-04-06 04:17:18 UTC,52,31.00,"56.10

",,,,
2021-04-06 04:17:33 UTC,53,31.80,"54.00

",,,,
2021-04-06 04:17:50 UTC,54,32.50,"52.90

",,,,
2021-04-06 04:18:06 UTC,55,33.10,"50.80

",,,,
2021-04-06 04:18:22 UTC,56,33.50,"49.70

",,,,
2021-04-06 04:18:37 UTC,57,33.80,"48.70

",,,,
2021-04-06 04:18:52 UTC,58,33.30,"48.10

",,,,
2021-04-06 04:19:08 UTC,59,32.80,"47.70

",,,,
2021-04-06 04:19:24 UTC,60,32.30,"49.10

",,,,
2021-04-06 04:19:40 UTC,61,31.80,"49.60

",,,,
2021-04-06 04:19:56 UTC,62,31.30,"49.00

",,,,
2021-04-06 04:20:11 UTC,63,30.90,"49.80

",,,,
